,Disease,Symptoms
6375,erectile dysfunction,"I feel impotence, urinary retention, prostate, frequent urination, blood in urine, pain in testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during ejaculation"
6376,erectile dysfunction,"Inpotence, retention of urine, of prostate, frequent urination, blood in urine, pain in testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during intercourse"
6377,erectile dysfunction,"I am experiencing impotence, retention of urine, prostate, frequent urination, blood in urine, pain in testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during the course of a relationship."
6378,erectile dysfunction,"I am experiencing impotence, retention of urine, of prostate, frequent urination, blood in urine, pain in testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during the relationship"
6379,erectile dysfunction,"My experience is impotence, retention of urine, prostate, frequent urination, blood in urine, pain in testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during intercourse"
6380,erectile dysfunction,"I have Impotence, retention of urine, prostate, frequent urination, blood in urine, pain in testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during intercourse."
6381,erectile dysfunction,"I have impotence, retention of urine, prostate, frequent urination, blood in urine, pain in testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during intercourse"
6382,erectile dysfunction,"I have impotence, retention of urine, of prostate, frequent urination, blood in urine, pain in the testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during intercourse."
6383,erectile dysfunction,"I have impotence, retention of urine, of prostate, frequent urination, blood in urine, pain in the testicles, loss of sex drive, excessive urine at night, involuntary urination, premature ejaculation, penis pain, pain during the intercourse"
6384,erectile dysfunction,"I have impotence, retention of urine, prostate, frequent urination, blood in urine, pain in the testicles, loss of sexual drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during intercourse"
6385,temporary or benign blood in urine,"I am asymptomatic of blood in urine, sharp abdominal pain, side pain, painful urine retention, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urine retention, bladder regurgitation"
6386,temporary or benign blood in urine,"I am experiencing blood in urine, sharp abdominal pain, side pain, painful urination, retention of urine, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination of bladder, regurgitation"
6387,temporary or benign blood in urine,"I am experiencing blood in the urine, sharp abdominal pain, side pain, painful urination, retention of urine, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination of bladder, regurgitation."
6388,temporary or benign blood in urine,"I am experiencing blood in urine, sharp abdominal pain, side pain, painful urination, retention of urine, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination of the bladder, regurgitation"
6389,temporary or benign blood in urine,"I am experiencing blood in the urine, swollen abdominal pain, side pain, painful urine retention, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination of bladder, regurgitation"
6390,temporary or benign blood in urine,"I have blood in urine, sharp abdominal pain, side pain, painful urination, retention of urine, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination, bladder, regurgitation"
6391,temporary or benign blood in urine,"I have blood in urine, sharp abdominal pain, side pain, painful urination, retention of urine, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination of the bladder, regurgitation"
6392,temporary or benign blood in urine,"I have blood in urine, sharp abdominal pain, side pain, painful urination, retention of urine, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination, bladder regurgitation"
6393,temporary or benign blood in urine,"I have blood in my urine, sharp abdominal pain, side pain, painful urine retention, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination, bladder regurgitation"
6394,temporary or benign blood in urine,"I have blood in urine, severe abdominal pain, side pain, painful urination, retention of urine, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urine retention, recurrence, regurgitation"
6395,kidney disease due to longstanding hypertension,"I am experiencing shortness of breath, of the kidneys, difficulty speaking, incontinence of stool, foot or toe cramps or spasms, unusual color or odor of urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold"
6396,kidney disease due to longstanding hypertension,"I experience shortness of breath, of the kidneys, difficulty speaking, incontinence of stools, foot or foot cramps or spasms, unusual color or smell of urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold or cold."
6397,kidney disease due to longstanding hypertension,"I am experiencing shortness of breath, of the kidneys, difficult speaking, incontinence of stool, foot or toe cramps or spasms, unusual color or odor in urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold"
6398,kidney disease due to longstanding hypertension,"I am experiencing shortness of breath, of the kidneys, difficulty speaking, incontinence of stool, foot or toe cramps or spasms, unusual color or scent to urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold or wet."
6399,kidney disease due to longstanding hypertension,"Shortness of breath, the kidneys, difficulty speaking, incontinence of stool, foot or toe cramps or spasms, unusual color or odor to urine, excess appetite, polyuria, too little hair, stuttering or stuttering, feeling cold"
6400,kidney disease due to longstanding hypertension,"I have shortness of breath, of the kidneys, difficulty speaking, incontinence of stool, foot or toe cramps or spasms, unusual color or odor of urine, excessive appetite, polyuria, too little hair, stuttering or stuttering, I feel cold or cold."
6401,kidney disease due to longstanding hypertension,"I have shortness of breath, of the kidneys, difficulty speaking, incontinence of stool, foot or toe cramps or spasms, unusual color or odor to the urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold"
6402,kidney disease due to longstanding hypertension,"I have shortness of breath, of kidneys, difficulty speaking, incontinence of stool, foot or heel cramps or spasms, unusual color or scent to urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold"
6403,kidney disease due to longstanding hypertension,"I have shortness of breath, of the kidneys, difficulty speaking, incontinence of stool, foot or toe cramps or spasms, unusual color or odor of urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold."
6404,kidney disease due to longstanding hypertension,"I have shortness of breath, dizziness of the kidneys, difficulty speaking, incontinence of stool, foot or heel cramps or spasms, unusual color or odor to urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold"
6405,chondromalacia of the patella,"I am experiencing knee pain, leg pain, knee swelling, knee stiffness or tightness, a problem with movement, knee weakness, joint pain, elbow pain, bones are painful."
6406,chondromalacia of the patella,"I am experiencing knee pain, leg pain, knee swelling, knee stiffness or tightness, problems with movement, knee weakness, joint pain, elbow pain, bones are painful"
6407,chondromalacia of the patella,"I am experiencing knee pain, leg pain, knee swelling, knee stiffness or tightness, symptoms of movement, knee weakness, joint pain, elbow pain, bones are painful"
6408,chondromalacia of the patella,"I am experiencing knee pain, leg pain, knee swelling, knee stiffness or tightness, troubles with movement, knee weakness, joint pain, elbow pain, bones are painful"
6409,chondromalacia of the patella,"I am experiencing knee pain, leg pain, knee swelling, knee stiffness or tightness, problems with movement, knee weakness, joint pain, elbow pain, bones are painful"
6410,chondromalacia of the patella,"I have knee pain, leg pain, knee swelling, knee stiffness or tightness, problems with movement, knee weakness, joint pain, elbow pain are painful, bones"
6411,chondromalacia of the patella,"I have knee pain, leg pain, knee swelling, knee stiffness or tightness, problems with movement, knee weakness, joint pain, elbow pain, bone pain are painful"
6412,chondromalacia of the patella,"I have knee pain, leg pain, knee swelling, knee stiffness or tightness, problems with movement, knee weakness, joint pain, elbow pain, bones are painful"
6413,chondromalacia of the patella,"I have knee pain, leg pain, knee swelling, knee stiffness or tightness, problems with movement, knee weakness, joint pain, elbow pain, bones are painful."
6414,chondromalacia of the patella,"I have knee pain, leg pain, knee swelling, knee stiffness or tightness, problems with movement, knee weakness, joint pain, elbow pain, bones are painful"
6415,onychomycosis,"I am experiencing skin rash, irregular looking nails, foot or toe pain, abnormal looking skin, diaper rash, itching of skin, skin growth, skin dryness peeling or roughness, skin irritation, skin swelling, skin on leg or foot looks infected, too little hair"
6416,onychomycosis,"I am experiencing skin rash, irregular looking nails, foot or toe pain, abnormal skin, diaper rash, itching of skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, swelling, skin on leg or foot looks infected, too little hair."
6417,onychomycosis,"I am experiencing skin rash, irregular appearing nails, foot or toe pain, abnormal appearing skin, diaper rash, itching of skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, skin swelling, skin on leg or foot looks infected, too little hairy."
6418,onychomycosis,"I suffer from skin rash, irregular looking nails, foot or foot pain, abnormal skin, diaper rash, itching of the skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, swelling, skin on leg or foot seems infected, too little hair"
6419,onychomycosis,"I am experiencing skin rash, irregular appearing nails, foot or toe pain, abnormal looking skin, diaper rash, itching of the skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, skin swelling, skin on leg or foot looks infected, too little hairs"
6420,onychomycosis,"I have skin rash, irregular appearance of nails, foot or toe pain, abnormal looking skin, diaper rash, itching of skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, skin swelling, skin on leg or foot looks infected, too little hairs"
6421,onychomycosis,"I have skin rash, irregular appearance nails, foot or heel pain, abnormal looking skin, diaper rash, itching skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, skin swelling, skin on leg or foot looks infected, too little hair."
6422,onychomycosis,"I have dermatitis, irregular appearing nails, foot or toe pain, abnormal appearing skin, diaper rash, itching of the skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, swelling of skin, the skin on the foot or leg looks infected, too little hairs"
6423,onychomycosis,"I have skin rash, irregular appearing nails, foot or toe pain, abnormal looking skin, diaper rash, itching of skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, skin swelling, skin on leg or foot looks infected, too little hair"
6424,onychomycosis,"I have skin rash, irregular nails, foot or heel pain, abnormal skin, diaper rash, itching of skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, skin swelling, skin looks infected on leg or foot, too little hair"
6425,urethral disorder,"I am experiencing painful urination, involuntary urination, retention of urine, frequent urination, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, bladder pain, abusing alcohol."
6426,urethral disorder,"I experience painful urine urination, involuntary urine retention, frequent urine, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, bladder pain, side pain, abuse alcohol"
6427,urethral disorder,"I feel painful urination, involuntary urination, retention of urine, frequent urination, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, urium, side pain, abusing alcohol."
6428,urethral disorder,"I experience painful urination, involuntary urination, retention of urine, frequent urination, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, bladder pain, side pain, abusing alcohol."
6429,urethral disorder,"I am experiencing painful urination, involuntary urination, retention of urine, frequent urination, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, bladder pain, side pain, abusing alcohol"
6430,urethral disorder,"I have painful urine, involuntary urine retention, frequent urination, acute abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, bladder, side pain, abusing alcohol"
6431,urethral disorder,"I have painful urination, involuntary urination, urine retention, frequent urination, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, of the bladder, side pain, abusing alcohol"
6432,urethral disorder,"I have painful urination, involuntary urination, retention of urine, frequent urination, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, bladder, side pain, abusing alcohol"
6433,urethral disorder,"I have painful urine, involuntary urine retention, frequent urine retention, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, bladder, side pain, abusing alcohol"
6434,urethral disorder,"I have painful urination, involuntary urination, retention of urine, frequent urination, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine, of the bladder, side pain, abusing alcohol"
6435,lyme disease,"I am experiencing fever, skin rash, headache, fatigue, abnormal skin, lost sensation, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain."
6436,lyme disease,"I am experiencing, fever, skin rash, headache, fatigue, abnormal skin, loss of sensation, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain of the face."
6437,lyme disease,"I am experiencing fever, skin rash, headache, fatigue, abnormal skin, loss of sensation, depressive or psychotic, joint pain, chills, hip pain, hands or finger pain of the face."
6438,lyme disease,"I am experiencing fever, skin rash, headache, fatigue, abnormal skin appearance, loss of sensation, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain, or the face"
6439,lyme disease,"I am experiencing fever, skin rash, headache, fatigue, abnormal looking skin, loss of sensation, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain on the face."
6440,lyme disease,"I have fever, skin rash, headache, fatigue, abnormal looking skin, loss of sensation, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain, of the face."
6441,lyme disease,"I have fever, skin rash, headache, fatigue, abnormal appearing skin, loss of sensation, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain, face"
6442,lyme disease,"I have fever, skin rash, headache, fatigue, abnormally appearing skin, loss of sensation, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain, face."
6443,lyme disease,"I have fever, rash, headache, fatigue, abnormal skin, loss of sensation, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain, of the face."
6444,lyme disease,"I have fever, skin rash, headache, fatigue, abnormal skin, sensation loss, depressive or psychotic, joint pain, chills, hip pain, hand or finger pain, and face."
6445,iron deficiency anemia,"I am experiencing fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in stool, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation."
6446,iron deficiency anemia,"Am experiencing fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in stool, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
6447,iron deficiency anemia,"I am experiencing fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in the stool, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
6448,iron deficiency anemia,"I feel fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in the stool, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
6449,iron deficiency anemia,"I experience fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in stools, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation."
6450,iron deficiency anemia,"I have fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in stool, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
6451,iron deficiency anemia,"I have fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in the stool, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
6452,iron deficiency anemia,"I have fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in the snout, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
6453,iron deficiency anemia,"I have fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in stools, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
6454,iron deficiency anemia,"I have fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in the stool, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
6455,acute respiratory distress syndrome (ards),"I experience a shortness of breath, difficulty breathing, cough, sharp chest pain, depressive or psychotic, fever, wheezing, hurts to breath, chest tightness, chills, coughing sputum, congestion in the chest"
6456,acute respiratory distress syndrome (ards),"I are experiencing shortness of breath, difficulty breathing, cough, sharp chest pain, depressive or psychotic, fever, wheezing, breath hurts, chest tightness, chills, coughing up sputum, congestion in the chest."
6457,acute respiratory distress syndrome (ards),"I am experiencing shortness of breath, difficulty breathing, cough, sharp chest pain, depressive or psychotic, fever, wheezing, breathless pain, chest tightness, chills, coughing up sputum, congestion in the chest."
6458,acute respiratory distress syndrome (ards),"I am experiencing shortness of breath, difficulty breathing, cough, chest pain, depressive or psychotic, fever, wheezing, breath pains, chest tightness, chills, coughing sputum, congestion in the chest."
6459,acute respiratory distress syndrome (ards),"In my experience, I find Shortness of breath, difficulty breathing, cough, sharp chest pain, depressive or psychotic, fever, wheezing, hurting to breath, chest tightness, chills, coughing sputum, congestion in chest."
6460,acute respiratory distress syndrome (ards),"I have shortness of breath, difficulty breathing, cough, severe chest pain, depressive or psychotic, fever, wheezing, breathiness, chest tightness, chills, coughing sputum, congestion in the chest."
6461,acute respiratory distress syndrome (ards),"I have shortness of breath, difficulty breathing, cough, severe chest pain, depressive or psychotic, fever, wheezing, breath ache, chest tightness, chills, coughing sputum, congestion in chest."
6462,acute respiratory distress syndrome (ards),"I have shortness of breath, difficulty breathing, cough, sharp chest pain, depressive or psychotic, fever, wheezing, breath hurts, chest tightness, chills, coughing sputum, congestion in the chest."
6463,acute respiratory distress syndrome (ards),"I have shortness of breath, difficulty breathing, cough, sharp chest pain, depressive or psychotic, fever, wheezing, hurts to breath, chest pain, chills, coughing sputum, congestion in chest."
6464,acute respiratory distress syndrome (ards),"I have shortness of breath, difficulty breathing, cough, sharp chest pain, depressive or psychotic, fever, wheezing, breathless, chest tightness, chills, coughing sputum, congestion in the chest."
6465,toxic multinodular goiter,"I experience fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of eyelid, foreign body sensation in the eye, spots or clouds in the vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling."
6466,toxic multinodular goiter,"I am experiencing fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of the eyelid, foreign body sensation in the eye, spots or clouds in vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling"
6467,toxic multinodular goiter,"I am experiencing fatigue, abnormal involuntary movements, double vision, sweating, involuntary urine, abnormal movement of eyelids, foreign body sensation in the eye, spot or clouds in vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling"
6468,toxic multinodular goiter,"I am experiencing fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of eyelid, foreign body sensation in eye, spots or clouds in vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling"
6469,toxic multinodular goiter,"I am experiencing fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of the eyelid, foreign sensation in the eye, spots or clouds in the vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling."
6470,toxic multinodular goiter,"I have fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movements of eyelids, foreign body sensation in the eye, spots or clouds in the vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling"
6471,toxic multinodular goiter,"I have fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of eyelid, foreign body sensation in the eye, spots or clouds in vision, leg cramps or spasms, irregular heart beat, sinus congestion, neck swelling"
6472,toxic multinodular goiter,"I have fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of eyelid, foreign body sensation in the eye, spots or clouded vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling"
6473,toxic multinodular goiter,"I have fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of the eyelid, foreign body sensation in the eye, spots or clouds in the eye, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling"
6474,toxic multinodular goiter,"I have fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of eyelid, foreign body sensation in eye, spots or clouds in vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling"
6475,open wound of the finger,"I feel hand or finger pain, hand or finger swelling, skin on arm or hand looks infected, hand or finger stiffness or tightness"
6476,open wound of the finger,"I experience hand or finger pain, hand or finger swelling, infected skin on arm or hand, hand or finger stiffness or tightness"
6477,open wound of the finger,"I experience hand or finger pain, hand or finger swelling, skin looks on the arm or hand infected, hand or finger stiffness or tightness"
6478,open wound of the finger,"I experience hand or finger pain, hand or finger swelling, skin on arm or hand looks infected, hand or finger stiffness or tightness."
6479,open wound of the finger,"I am experiencing hand or finger pain, hand or finger swelling, skin on arm or hand looks infected, hand or finger stiffness or tightness"
6480,open wound of the finger,"I have hand or finger pain, swelling or swelling of the hand or finger, skin on the arm or hand looks infected, hand or finger stiffness or tightness"
6481,open wound of the finger,"I have hand or finger pain, swelling of the hand or finger, skin on the arm or hand looks infected, hand or finger stiffness or tightness."
6482,open wound of the finger,"Hand or finger pain, hand or finger swelling, skin on arm or hand looks infected, hand or finger stiffness or tightness"
6483,open wound of the finger,"I have hand or finger pain, hand or finger swelling, skin on arm or hand looks infected, hand or finger stiffness or tightness."
6484,open wound of the finger,"I have hand or finger pain, hand or finger swelling, skin on arm or hand appears infected, hand or finger stiffness or tightness"
6485,autonomic nervous system disorder,"I am experiencing leg pain, loss of sensation, headache, skin lesions, back pain, fainting, dizziness, fatigue, pupils unequal, decreased appetite, peripheral edema, difficulty swallowing"
6486,autonomic nervous system disorder,"I am experiencing leg pain, loss of sensation, headache, skin lesion, back pain, fainting, dizziness, fatigue, pupils are unégal, decreased appetite, peripheral edema, difficulty swallowing"
6487,autonomic nervous system disorder,"I am experiencing leg pain, loss of sensation, headache, skin lesion, back pain, fainting, dizziness, fatigue, pupils unequal, decreased appetite, peripheral edema, difficulty swallowing"
6488,autonomic nervous system disorder,"I am experiencing leg pain, loss of sensation, headache, skin recurrence, back pain, fainting, dizziness, fatigue, pupils univer, reduced appetite, peripheral edema, difficulty swallowing"
6489,autonomic nervous system disorder,"I am experiencing leg pain, body sensation loss, headache, skin lesion, back pain, fainting, dizziness, fatigue, pupils unequal, decreased appetite, peripheral edema, difficulty swallowing"
6490,autonomic nervous system disorder,"Ich have leg pain, loss of sensation, headache, skin lesion, back pain, fainting, dizziness, fatigue, pupils unchangeable, decreased appetite, peripheral edema, difficulty swallowing"
6491,autonomic nervous system disorder,"I have leg pain, loss of sensation, headache, skin lesion, back pain, fainting, dizziness, fatigue, pupils unequal, decreased appetite, peripheral edema, difficulty swallowing"
6492,autonomic nervous system disorder,"I have leg pain, loss of sensation, headache, skin lesions, back pain, fainting, dizziness, fatigue, pupils uncoordinated, increased appetite, peripheral edema, difficulty swallowing"
6493,autonomic nervous system disorder,"I have leg pain, sensation loss, headache, skin swell, back pain, fainting, dizziness, fatigue, pupils un-different, decreased appetite, peripheral edema, difficulty swallowing"
6494,autonomic nervous system disorder,"I have leg pain, loss of sensation, headache, skin lésion, back pain, fainting, dizziness, fatigue, pupils unequal, reduced appetite, peripheral edema, difficulty swallowing"
6495,psychosexual disorder,"I am experiencing impotence, premature ejaculation, loss of sexual drive, depression, knee pain, pain during interaction, fatigue, fears and phobias, orgasm, muscle pain, involuntary urination, prostate symptoms"
6496,psychosexual disorder,"I experience impotence, premature ejaculation, loss of sexual drive, depression, knee pain, pain during sexual relations, fatigue, fears and phobias, issues with orgasm, muscle pain, involuntary urination, prostate troubles"
6497,psychosexual disorder,"I am experiencing impotence, premature ejaculation, loss of sex drive, depression, knee pain, pain during sexual relations, fatigue, fears and phobias, problems with orgasm, muscle pain, involuntary urination, prostate cancer"
6498,psychosexual disorder,"I am experiencing impotence, premature ejaculation, loss of sex drive, depression, knee pain, pain during the relationship, fatigue, fears and phobias, problems with the urinate, muscle pain, involuntary urination, prostatic swelling"
6499,psychosexual disorder,"I am experiencing impotence, premature ejaculation, loss of sexual drive, depression, knee pain, pain during pregnancy, fatigue, fears and phobias, orgasm problems, muscle pain, involuntary urination, prostate cancer."
6500,psychosexual disorder,"I have impotence, pre-ejaculation, sex drive loss, depression, knee pain, pain in relation to body relations, fatigue, fears and phobias, problems with Orgasm, muscle pain, involuntary urine, prostate."
6501,psychosexual disorder,"I have impotence, premature ejaculation, the loss of sexual drive, depression, knee pain, pain during the interaction, fatigue, fears and phobias, orgasm problems, muscle pain, involuntary urination, prostate disorders."
6502,psychosexual disorder,"I have impotence, premature ejaculation, loss of sex drive, depression, knee pain, pain during sex, fatigue, fears and phobias, orgasm problems, muscle pains, involuntary urination, prostate."
6503,psychosexual disorder,"Impotence, premature ejaculation, loss of sexual drive, depression, knee pain, pain during sexual relations, fatigue, fears and phobias, problems with Orgasm, muscle pain, involuntary urination, prostate."
6504,psychosexual disorder,"I have impotence, premature ejaculation, loss of sexual drive, depression, knee pain, pregnancy pain, fatigue, fears and phobias, problems with orgasm, muscle pain, involuntary urination, prostate problems"
6505,anemia,"I am experiencing fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair"
6506,anemia,"I am experiencing fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair"
6507,anemia,"I suffer from fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in saline appearance, recent pregnancy, too little hair."
6508,anemia,"I feel fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictability of menstruation, vomiting blood, changes in saffron appearance, recent pregnancy, too little hair"
6509,anemia,"I experience fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair"
6510,anemia,"I have fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair"
6511,anemia,"I have fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair."
6512,anemia,"I have fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair."
6513,anemia,"I have fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair"
6514,anemia,"I have fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair"
6515,tendinitis,"I experienced hip pain, shoulder pain, knee pain, wrist pain, foot or toe pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
6516,tendinitis,"I am experiencing hip pain, shoulder pain, knee pain, wrist pain, foot or toe pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
6517,tendinitis,"I experience hip pain, shoulder pain, knee pain, wrist pain, foot or toe pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
6518,tendinitis,"I have hip pain, shoulder pain, knee pain, wrist pain, foot or toe pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, arthritis pain, knee pain, joint pain"
6519,tendinitis,"I am experiencing hip pain, shoulder pain, knee pain, wrist pain, foot or foot pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain."
6520,tendinitis,"I have hip pain, shoulder pain, knee pain, wrist pain, foot or toe pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
6521,tendinitis,"I have hip pain, shoulder pain, knee pain, wrist pain, foot or toe pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
6522,tendinitis,"I have hip pain, shoulder pain, knee pain, wrist pain, foot or finger pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
6523,tendinitis,"I have hip pain, shoulder pain, knee pain, wrist pain, foot or finger pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
6524,tendinitis,"I have Hip pain, shoulder pain, knee pain, wrist pain, foot or toe pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
