,Disease,Symptoms
507,blastomycosis,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
508,noninfectious gastroenteritis,"vomiting, diarrhea, nausea, sharp abdominal pain, fever, burning abdominal pain, headache, blood in stool, decreased appetite, chills, fluid retention, rectal bleeding"
509,benign prostatic hyperplasia (bph),"retention of urine,  of prostate, frequent urination, blood in urine, excessive urination at night, impotence, involuntary urination,  of bladder, pain in testicles, hesitancy, swelling of scrotum, low urine output"
510,menopause,"hot flashes, unpredictable menstruation, sweating, pelvic pain, long menstrual periods, involuntary urination, vaginal dryness, vaginal itching, weight gain, heavy menstrual flow, loss of sex drive, absence of menstruation"
511,primary immunodeficiency,"fatigue, cough, frontal headache, painful sinuses, upper abdominal pain, decreased appetite, arm stiffness or tightness, skin irritation, joint pain, temper problems, mouth ulcer, swollen tongue"
512,ovarian cancer,"sharp abdominal pain, decreased appetite, fluid retention, regurgitation, stomach bloating, groin mass,  of the kidneys, difficulty eating, absence of menstruation"
513,cataract,"diminished vision, spots or clouds in vision,  of eye, pain in eye, lacrimation, itchiness of eye, blindness, foreign body sensation in eye, eye burns or stings, double vision, cloudy eye, abnormal movement of eyelid"
514,dislocation of the hip,"hip pain, knee pain, leg pain, back pain, groin pain, hip stiffness or tightness, abusing alcohol"
515,spinal stenosis,"neck pain, back pain, low back pain, shoulder pain, headache, leg pain, arm pain, loss of sensation, hip pain, lower body pain, problems with movement, paresthesia"
516,intestinal obstruction,"constipation, sharp abdominal pain, nausea, diarrhea, vomiting, retention of urine, burning abdominal pain, pain of the anus, stomach bloating, vomiting blood, incontinence of stool, vaginal itching"
517,heart contusion,"apnea, sharp chest pain, depression, fainting, itchy eyelid, cross-eyed, excessive growth, elbow cramps or spasms, wrist weakness, elbow weakness, hip stiffness or tightness, nailbiting"
518,congenital malformation syndrome,"lack of growth, seizures, gum pain, diminished hearing, leg stiffness or tightness, rib pain, fluid retention, ringing in ear, delusions or hallucinations,  of the kidneys, difficulty eating, groin pain"
519,sporotrichosis,"knee pain, knee swelling, shoulder cramps or spasms, ankle pain, wrist pain, pain during pregnancy, joint stiffness or tightness, excessive anger, pain or soreness of breast, knee lump or mass, facial pain, pain in eye"
520,lymphangitis,"skin on arm or hand looks infected, neck swelling, skin on leg or foot looks infected, skin on head or neck looks infected, foot or toe lump or mass, flu-like syndrome, foot or toe pain, facial pain, neck pain, arm pain, abnormal appearing skin, skin irritation"
521,wernicke korsakoff syndrome,"depressive or psychotic , abusing alcohol, delusions or hallucinations, leg pain, fainting, hostile behavior, paresthesia, arm pain, anxiety and nervousness, vomiting blood, headache, disturbance of memory"
522,intestinal disease,"sharp abdominal pain, vomiting, diarrhea, regurgitation, rectal bleeding, burning abdominal pain, constipation, nausea, upper abdominal pain, sharp chest pain, fainting, weakness"
523,acute bronchitis,"cough, nasal congestion, fever, sore throat, shortness of breath, coryza, sharp chest pain, coughing up sputum, congestion in chest, headache, difficulty breathing, wheezing"
524,persistent vomiting of unknown cause,"vomiting, nausea, sharp abdominal pain, diarrhea, fever, problems during pregnancy, headache, dizziness, cramps and spasms, abnormal involuntary movements, vomiting blood, decreased appetite"
525,open wound of the foot,"foot or toe pain, skin lesion, foot or toe swelling, skin on leg or foot looks infected, irregular appearing nails, foot or toe lump or mass, skin pain"
526,myocarditis,"palpitations, ache all over, cough, chest tightness, fever, sharp chest pain, weakness, diarrhea, headache, difficulty breathing, dizziness, coughing up sputum"
527,preeclampsia,"headache, pain during pregnancy, problems during pregnancy, sharp abdominal pain, uterine contractions, lower abdominal pain, recent pregnancy, spots or clouds in vision, cramps and spasms, vaginal redness"
528,ischemic heart disease,"sharp chest pain, shortness of breath, difficulty breathing, palpitations, dizziness, fatigue, chest tightness, peripheral edema, lymphedema, increased heart rate, muscle pain, throat feels tight"
529,neurofibromatosis,"headache, abnormal appearing skin, abnormal involuntary movements, diminished hearing, leg swelling, incontinence of stool, leg weakness, neck mass, mass on vulva, warts, groin mass, foot or toe lump or mass"
530,chickenpox,"skin rash, fever, abnormal appearing skin, itching of skin, ache all over, cough, skin lesion, skin swelling, pain in testicles, problems during pregnancy, irritable infant, eye redness"
531,pancreatic cancer,"sharp abdominal pain, nausea, ache all over, fatigue, diarrhea, jaundice, constipation, stomach bloating, arm swelling, elbow swelling, irregular appearing scalp, vomiting blood"
532,neuropathy due to drugs,"loss of sensation, foot or toe pain, paresthesia, problems with movement, sharp abdominal pain, cough, nausea, weakness, vomiting, facial pain, fatigue, hand or finger pain"
533,croup,"cough, fever, difficulty breathing, nasal congestion, wheezing, shortness of breath, vomiting, sore throat, coryza, hoarse voice, abnormal breathing sounds, pulling at ears"
534,idiopathic excessive menstruation,"heavy menstrual flow, unpredictable menstruation, pelvic pain, sharp abdominal pain, painful menstruation, long menstrual periods, intermenstrual bleeding, blood clots during menstrual periods, frequent menstruation, cramps and spasms, vaginal discharge, involuntary urination"
535,amblyopia,"diminished vision, eye deviation, pain in eye, foreign body sensation in eye, cross-eyed, spots or clouds in vision, pus draining from ear, white discharge from eye, neck stiffness or tightness, abnormal movement of eyelid, itchiness of eye, eye moves abnormally"
536,meckel diverticulum,"upper abdominal pain, lower abdominal pain, knee lump or mass, excessive growth, pelvic pressure, vulvar sore, loss of sex drive, bedwetting, neck cramps or spasms, shoulder swelling, eye strain, joint stiffness or tightness"
537,dislocation of the wrist,"arm pain, elbow pain, hand or finger swelling, hand or finger pain, depression, arm stiffness or tightness, wrist pain, elbow weakness, wrist weakness, eye strain, feeling hot and cold, nailbiting"
538,ear drum damage,"ear pain, diminished hearing, fluid in ear, redness in ear, bleeding from ear, nasal congestion, cough, plugged feeling in ear, ringing in ear, pulling at ears, pus draining from ear, flu-like syndrome"
539,erectile dysfunction,"impotence, retention of urine,  of prostate, frequent urination, blood in urine, pain in testicles, loss of sex drive, excessive urination at night, involuntary urination, premature ejaculation, penis pain, pain during intercourse"
540,temporary or benign blood in urine,"blood in urine, sharp abdominal pain, side pain, painful urination, retention of urine, suprapubic pain, back pain, frequent urination, lower abdominal pain, involuntary urination,  of bladder, regurgitation"
541,kidney disease due to longstanding hypertension,"shortness of breath,  of the kidneys, difficulty speaking, incontinence of stool, foot or toe cramps or spasms, unusual color or odor to urine, excessive appetite, polyuria, too little hair, stuttering or stammering, feeling cold"
542,chondromalacia of the patella,"knee pain, leg pain, knee swelling, knee stiffness or tightness, problems with movement, knee weakness, joint pain, elbow pain, bones are painful"
543,onychomycosis,"skin rash, irregular appearing nails, foot or toe pain, abnormal appearing skin, diaper rash, itching of skin, skin growth, skin dryness peeling scaliness or roughness, skin irritation, skin swelling, skin on leg or foot looks infected, too little hair"
544,urethral disorder,"painful urination, involuntary urination, retention of urine, frequent urination, sharp abdominal pain, suprapubic pain, vomiting, pelvic pain, blood in urine,  of bladder, side pain, abusing alcohol"
545,lyme disease,"fever, skin rash, headache, fatigue, abnormal appearing skin, loss of sensation, depressive or psychotic , joint pain, chills, hip pain, hand or finger pain,  of the face"
546,iron deficiency anemia,"fatigue, weakness, dizziness, heavy menstrual flow, rectal bleeding, blood in stool, weight gain, melena, heartburn, regurgitation, intermenstrual bleeding, absence of menstruation"
547,acute respiratory distress syndrome (ards),"shortness of breath, difficulty breathing, cough, sharp chest pain, depressive or psychotic , fever, wheezing, hurts to breath, chest tightness, chills, coughing up sputum, congestion in chest"
548,toxic multinodular goiter,"fatigue, abnormal involuntary movements, double vision, sweating, involuntary urination, abnormal movement of eyelid, foreign body sensation in eye, spots or clouds in vision, leg cramps or spasms, irregular heartbeat, sinus congestion, neck swelling"
549,open wound of the finger,"hand or finger pain, hand or finger swelling, skin on arm or hand looks infected, hand or finger stiffness or tightness"
550,autonomic nervous system disorder,"leg pain, loss of sensation, headache, skin lesion, back pain, fainting, dizziness, fatigue, pupils unequal, decreased appetite, peripheral edema, difficulty in swallowing"
551,psychosexual disorder,"impotence, premature ejaculation, loss of sex drive, depression, knee pain, pain during intercourse, fatigue, fears and phobias, problems with orgasm, muscle pain, involuntary urination,  of prostate"
552,anemia,"fatigue, weakness, dizziness, shortness of breath, nosebleed, heavy menstrual flow, melena, unpredictable menstruation, vomiting blood, changes in stool appearance, recent pregnancy, too little hair"
553,tendinitis,"hip pain, shoulder pain, knee pain, wrist pain, foot or toe pain, hand or finger pain, leg pain, elbow pain, ankle pain, arm pain, hand or finger swelling, joint pain"
554,common cold,"cough, sore throat, fever, nasal congestion, coryza, ear pain, headache, vomiting, wheezing, congestion in chest, chills, flu-like syndrome"
555,amyotrophic lateral sclerosis (als),"weakness, leg weakness, difficulty speaking, problems with movement, abnormal involuntary movements, back pain, difficulty in swallowing, hand or finger weakness, leg pain, muscle weakness, fatigue, leg cramps or spasms"
556,central retinal artery or vein occlusion,"diminished vision, blindness, spots or clouds in vision,  of eye, pain in eye, foreign body sensation in eye, elbow pain, irregular heartbeat, eye deviation, double vision"
557,paroxysmal supraventricular tachycardia,"palpitations, sharp chest pain, increased heart rate, irregular heartbeat, shortness of breath, dizziness, weakness, chest tightness,  of the face, sweating, bladder mass, involuntary urination"
558,venous insufficiency,"skin lesion, leg swelling, leg pain, peripheral edema, abnormal appearing skin, leg cramps or spasms, fluid retention, lymphedema, skin on leg or foot looks infected, ankle swelling, poor circulation, burning chest pain"
559,trichomonas infection,"vaginal discharge, sharp abdominal pain, vomiting, pelvic pain, painful urination, nausea, lower abdominal pain, vaginal itching, burning abdominal pain, side pain, pain during pregnancy, unpredictable menstruation"
560,acne,"acne or pimples, skin rash, abnormal appearing skin, skin moles, skin swelling, skin growth, warts, skin dryness peeling scaliness or roughness, too little hair, irregular appearing scalp, nose deformity, long menstrual periods"
561,depression,"depression, depressive or psychotic , anxiety and nervousness, insomnia, abusing alcohol, drug abuse, delusions or hallucinations, excessive anger, disturbance of memory, low self-esteem, hostile behavior, temper problems"
562,drug abuse,"drug abuse, depressive or psychotic , depression, abusing alcohol, anxiety and nervousness, delusions or hallucinations, antisocial behavior, sweating, hostile behavior, excessive anger, fears and phobias, smoking problems"
563,urinary tract obstruction,"retention of urine, blood in urine, side pain, frequent urination,  of prostate, sharp abdominal pain, back pain, suprapubic pain,  of bladder, excessive urination at night, painful urination, involuntary urination"
564,diabetes insipidus,"excessive appetite, cough, difficulty in swallowing, frequent urination, dizziness, itchy eyelid, emotional , wrist weakness, elbow cramps or spasms, elbow weakness, nailbiting, hip stiffness or tightness"
565,iridocyclitis,"pain in eye, diminished vision, eye redness, headache, spots or clouds in vision,  of eye, swollen eye, lacrimation, foreign body sensation in eye, itchiness of eye, eye burns or stings, cloudy eye"
566,varicocele of the testicles,"pain in testicles, mass in scrotum,  of the scrotum and testes, groin pain, swelling of scrotum, infertility, lower abdominal pain, involuntary urination, impotence, skin growth, penis pain, pain of the anus"
567,irritable bowel syndrome,"sharp abdominal pain, diarrhea, burning abdominal pain, constipation, nausea, anxiety and nervousness, lower abdominal pain, upper abdominal pain, regurgitation, insomnia, rectal bleeding, flatulence"
568,fracture of the foot,"foot or toe pain, ankle pain, foot or toe swelling, ankle swelling, foot or toe weakness, foot or toe stiffness or tightness"
569,ovarian cyst,"sharp abdominal pain, lower abdominal pain, pelvic pain, vomiting, side pain, nausea, burning abdominal pain, painful menstruation, vaginal discharge, skin growth, intermenstrual bleeding, cramps and spasms"
570,chlamydia,"penile discharge, vaginal discharge, sharp abdominal pain, painful urination, vaginal pain, vaginal itching, itching of skin, frequent urination, lower abdominal pain, pelvic pain, groin pain, penis pain"
571,parasitic disease,"sharp abdominal pain, skin rash, cough, fever, hand or finger swelling, abnormal appearing skin, coughing up sputum, swollen lymph nodes, retention of urine, itching of skin, vaginal pain, painful sinuses"
572,fracture of the jaw,"facial pain, peripheral edema, jaw swelling, mouth pain, pain in eye, bleeding gums, swollen eye, bones are painful, redness in ear, bleeding in mouth, gum pain, skin irritation"
573,cytomegalovirus infection,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
574,lipoma,"skin swelling, back mass or lump, arm lump or mass, neck mass, shoulder lump or mass, skin growth, skin lesion, abnormal appearing skin, groin mass, leg lump or mass, lump or mass of breast, bones are painful"
575,female genitalia infection,"vaginal pain, vulvar irritation, skin lesion, fever, vaginal discharge, skin growth, vulvar sore, spotting or bleeding during pregnancy, pelvic pain, mass on vulva, skin swelling, groin pain"
576,pulmonary hypertension,"shortness of breath, difficulty breathing, fatigue, sharp chest pain, cough, feeling ill, wheezing, peripheral edema, apnea, hurts to breath, palpitations, hemoptysis"
577,thyroid nodule,"difficulty in swallowing, fatigue, neck mass, throat feels tight, hoarse voice, neck swelling, lump in throat, sleepiness, weight gain, diminished hearing, abnormal movement of eyelid, back weakness"
578,broken tooth,"toothache, facial pain, gum pain, lip swelling, mouth pain, bleeding in mouth, peripheral edema, bleeding gums, difficulty eating, slurring words, dry lips, lump over jaw"
579,dumping syndrome,"nausea, vomiting, fatigue, upper abdominal pain, ear pain, headache, diarrhea, weight gain, vulvar sore, excessive growth, knee lump or mass, itchy eyelid"
580,lymphadenitis,"sore throat, fever, sharp abdominal pain, swollen lymph nodes, neck pain, neck mass, neck swelling, ear pain, cough, headache, vomiting, skin swelling"
581,injury to the face,"neck pain, headache, facial pain, ear pain, bleeding from ear, nosebleed, mouth pain, bleeding in mouth, neck stiffness or tightness, swollen eye, redness in or around nose, diminished hearing"
582,aortic valve disease,"shortness of breath, fatigue, sharp chest pain, difficulty breathing, palpitations, fainting, peripheral edema, lymphedema, increased heart rate, irregular heartbeat, leg cramps or spasms, groin mass"
583,rheumatoid arthritis,"joint pain, knee pain, ache all over, hand or finger pain, wrist pain, peripheral edema, hand or finger swelling, joint swelling, hand or finger weakness, elbow swelling, wrist swelling, stiffness all over"
584,spermatocele,"pain in testicles, mass in scrotum, swelling of scrotum, retention of urine, groin pain, frequent urination, skin growth, impotence, leg lump or mass, muscle swelling, low back weakness, elbow weakness"
585,impetigo,"skin rash, skin lesion, fever, abnormal appearing skin, cough, itching of skin, nasal congestion, skin swelling, skin on head or neck looks infected, peripheral edema, mouth ulcer, sore in nose"
586,anal fistula,"pain of the anus, sharp abdominal pain, blood in stool, rectal bleeding, low back cramps or spasms, lower body pain, discharge in stools, constipation, mass or swelling around the anus, incontinence of stool, mass in scrotum"
587,hypothermia,"depressive or psychotic , weakness, leg stiffness or tightness, skin rash, vomiting, leg swelling, loss of sensation, fainting, elbow weakness, wrist weakness, feeling hot and cold, emotional , "
588,oppositional disorder,"depressive or psychotic , excessive anger, hostile behavior, restlessness, fainting, temper problems, antisocial behavior, obsessions and compulsions, nightmares, low self-esteem, low urine output"
589,migraine,"headache, nausea, vomiting, dizziness, diminished vision, disturbance of memory, spots or clouds in vision,  of the face, blindness, long menstrual periods"
590,diabetic peripheral neuropathy,"skin lesion, foot or toe pain, loss of sensation, leg pain, paresthesia, problems with movement, foot or toe swelling, lymphedema, skin on leg or foot looks infected, poor circulation, foot or toe stiffness or tightness, hand or finger cramps or spasms"
591,testicular disorder,"impotence, fatigue, loss of sex drive,  of prostate,  of the scrotum and testes, pain in testicles, excessive urination at night, skin moles, excessive anger, hoarse voice, regurgitation, mass in scrotum"
592,gestational diabetes,"problems during pregnancy, pain during pregnancy, uterine contractions, pelvic pressure, itching of the anus, hip stiffness or tightness, excessive appetite, mass on vulva, vaginal redness"
593,hidradenitis suppurativa,"arm pain, arm lump or mass, skin rash, skin growth, skin on arm or hand looks infected, skin lesion, skin swelling, lower body pain, groin mass, acne or pimples, arm swelling, lump or mass of breast"
594,valley fever,"fever, shortness of breath, joint pain, fatigue, chills, back pain, ache all over, hurts to breath, hand or finger pain, shoulder swelling, hip stiffness or tightness, vulvar sore"
595,conjunctivitis due to bacteria,"eye redness, cough, pain in eye, fever, white discharge from eye, nasal congestion, itchiness of eye, ear pain, sore throat, coryza,  of eye, abnormal appearing skin"
596,lewy body dementia,"disturbance of memory, delusions or hallucinations, abnormal involuntary movements, problems with movement, loss of sensation, depressive or psychotic , dizziness, weakness, seizures, rectal bleeding, hostile behavior, paresthesia"
597,marfan syndrome,"heartburn, blood in stool, anxiety and nervousness, increased heart rate, stomach bloating, ache all over, itching of the anus, depression, focal weakness, shoulder pain, skin swelling, emotional , "
598,multiple myeloma,"weakness, fatigue, chills, problems with movement, disturbance of memory, lip swelling, stiffness all over, hip lump or mass, muscle pain, swollen abdomen, impotence,  of the face"
599,head injury,"headache, neck pain, dizziness, back pain, fainting, facial pain, lip swelling, ringing in ear, double vision, redness in or around nose"
600,ascending cholangitis,"sharp abdominal pain, fever, jaundice, nausea, diarrhea, vomiting, shortness of breath, upper abdominal pain, retention of urine, painful urination, stomach bloating, vaginal itching"
601,idiopathic irregular menstrual cycle,"unpredictable menstruation, sharp abdominal pain, heavy menstrual flow, long menstrual periods, pelvic pain, lower abdominal pain, intermenstrual bleeding, painful menstruation, blood clots during menstrual periods, cramps and spasms, frequent menstruation, infertility"
602,interstitial lung disease,"cough, fever, nasal congestion, coryza, sore throat, shortness of breath, difficulty breathing, sleepiness, abnormal breathing sounds, headache, ear pain, wheezing"
603,mononeuritis,"loss of sensation, foot or toe pain, paresthesia, leg pain, arm pain, low back pain, hand or finger pain, elbow pain, shoulder pain, ankle pain, wrist pain, hand or finger weakness"
604,malaria,"headache, fever, ache all over, weakness, vomiting, back pain, fainting, vulvar sore, excessive growth, knee lump or mass, itchy eyelid, wrist weakness"
605,somatization disorder,"anxiety and nervousness, depression, depressive or psychotic , ache all over, dizziness, sharp abdominal pain, insomnia, feeling ill, fainting, fatigue, difficulty breathing, weakness"
606,hypovolemia,"vomiting, diarrhea, nausea, fever, dizziness, weakness, sharp abdominal pain, fainting, headache, fluid retention, decreased appetite, feeling ill"
607,schizophrenia,"depressive or psychotic , delusions or hallucinations, depression, anxiety and nervousness, hostile behavior, fears and phobias, drug abuse, insomnia, temper problems, excessive anger, hysterical behavior, low self-esteem"
608,knee ligament or meniscus tear,"knee pain, knee swelling, knee stiffness or tightness, knee weakness, leg stiffness or tightness, leg weakness, stiffness all over, joint swelling, knee lump or mass, foot or toe cramps or spasms, knee cramps or spasms"
609,endocarditis,"shortness of breath, dizziness, sharp chest pain, palpitations, fatigue, weakness, increased heart rate, irregular heartbeat, leg swelling, lower body pain, pain or soreness of breast, chills"
610,sepsis,"fever, depressive or psychotic , shortness of breath, weakness, vomiting, difficulty breathing, cough, sharp abdominal pain, chills, decreased appetite, feeling ill, suprapubic pain"
611,heat stroke,"feeling hot, chills, fainting, vomiting, leg pain, palpitations, fever, feeling ill, dizziness, nausea, loss of sensation, nailbiting"
612,cholecystitis,"sharp abdominal pain, upper abdominal pain, nausea, vomiting, sharp chest pain, back pain, side pain, burning abdominal pain, lower body pain, regurgitation, stomach bloating,  of the kidneys"
613,cardiac arrest,"shortness of breath, difficulty breathing, sharp chest pain, weakness, increased heart rate, irregular heartbeat, focal weakness, palpitations, hurts to breath, decreased heart rate, arm swelling, pallor"
614,cardiomyopathy,"shortness of breath, sharp chest pain, fatigue, peripheral edema, palpitations, chest tightness, weight gain, irregular heartbeat, heartburn, excessive urination at night, decreased heart rate, muscle weakness"
615,social phobia,"anxiety and nervousness, depression, depressive or psychotic , fears and phobias, insomnia, abusing alcohol, low self-esteem, delusions or hallucinations, temper problems, excessive anger, obsessions and compulsions, excessive appetite"
616,meningitis,"headache, fever, vomiting, neck pain, ache all over, back pain, seizures, nausea, low back pain, cough, leg pain, neck stiffness or tightness"
617,spherocytosis,"skin rash, cough, fever, leg pain, neck pain, jaundice, sharp abdominal pain, elbow cramps or spasms, elbow weakness, excessive growth, low back weakness, wrist weakness"
618,hormone disorder,"excessive growth, headache, weight gain,  of eye, unpredictable menstruation, hot flashes, acne or pimples, lump or mass of breast, loss of sex drive, painful menstruation, frontal headache, lack of growth"
619,raynaud disease,"loss of sensation, hand or finger swelling, abnormal appearing skin, paresthesia, poor circulation,  of eye, ache all over, hand or finger pain, skin lesion, muscle pain, wrist swelling, back pain"
620,reactive arthritis,"knee pain, ache all over, hip pain, back pain, vulvar sore, loss of sex drive, knee lump or mass, nailbiting, excessive growth, wrist weakness, shoulder swelling, neck cramps or spasms"
621,scabies,"skin rash, itching of skin, skin swelling, abnormal appearing skin, problems during pregnancy, foot or toe swelling, diaper rash, skin dryness peeling scaliness or roughness, unpredictable menstruation, itchy scalp, pain in gums, penis redness"
622,ear wax impaction,"plugged feeling in ear, ear pain, diminished hearing, cough, nasal congestion, fever, ringing in ear, fluid in ear, redness in ear, pulling at ears, painful sinuses, sinus congestion"
623,hypertension of pregnancy,"problems during pregnancy, headache, pain during pregnancy, uterine contractions, spotting or bleeding during pregnancy, cramps and spasms, painful sinuses, unusual color or odor to urine, absence of menstruation, heartburn, pelvic pressure"
624,peripheral arterial embolism,"leg pain, loss of sensation, leg swelling, abnormal appearing skin, foot or toe pain, leg stiffness or tightness, lymphedema, poor circulation, paresthesia, groin pain, long menstrual periods, knee swelling"
625,rosacea,"abnormal appearing skin, skin rash, acne or pimples, skin dryness peeling scaliness or roughness, skin lesion, skin swelling, skin growth, skin moles, itching of skin, warts,  of eye, lymphedema"
626,fracture of the skull,"headache, facial pain, vomiting, depressive or psychotic , fainting, neck pain, nausea, diminished hearing,  of the face, drug abuse, ringing in ear, nosebleed"
627,uveitis,"diminished vision,  of eye, upper abdominal pain, eye redness, elbow cramps or spasms, wrist weakness, nailbiting, hip stiffness or tightness, vulvar sore, elbow weakness, cross-eyed, itchy eyelid"
628,fracture of the facial bones,"facial pain, headache, pain in eye, nosebleed, swollen eye, peripheral edema, redness in or around nose, abusing alcohol, double vision, hemoptysis, difficulty eating, lip swelling"
629,tracheitis,"cough, sore throat, fever, coryza, hoarse voice, nasal congestion, ear pain, difficulty breathing, headache, plugged feeling in ear, shortness of breath, sneezing"
630,jaw disorder,"toothache, facial pain, gum pain, jaw swelling, headache, peripheral edema, mouth pain, neck mass,  of the face, difficulty in swallowing, pain in gums, jaw pain"
631,perirectal infection,"pain of the anus, mass or swelling around the anus, skin swelling, lower body pain, fluid retention, skin lesion, skin growth, abnormal appearing skin, rectal bleeding, acne or pimples, pain in testicles, swelling of scrotum"
632,breast cyst,"lump or mass of breast, pain or soreness of breast, bleeding or discharge from nipple, skin growth, neck mass, warts, irregular belly button, coughing up sputum, vaginal dryness, arm lump or mass"
633,post-traumatic stress disorder (ptsd),"anxiety and nervousness, depression, depressive or psychotic , insomnia, delusions or hallucinations, drug abuse, excessive anger, temper problems, abusing alcohol, low self-esteem, hostile behavior, fears and phobias"
634,kidney cancer,"kidney mass, retention of urine, blood in urine,  of the kidneys,  of prostate, excessive urination at night, involuntary urination, increased heart rate, drainage in throat, groin mass, changes in stool appearance, bedwetting"
635,vulvar cancer,"back pain, ache all over, pelvic pain, abnormal involuntary movements, insomnia, lump or mass of breast, weakness, fluid retention, peripheral edema, feeling ill, emotional , elbow weakness"
636,blepharitis,"diminished vision, eye redness, pain in eye, itchiness of eye, swollen eye,  of eye, lacrimation, spots or clouds in vision, eyelid swelling, white discharge from eye, eye burns or stings, eyelid lesion or rash"
637,celiac disease,"sharp abdominal pain, diarrhea, regurgitation, fatigue, vomiting, nausea, allergic reaction, sharp chest pain, fears and phobias, peripheral edema, leg lump or mass, constipation"
638,cystitis,"painful urination, suprapubic pain, frequent urination, blood in urine, sharp abdominal pain, back pain, retention of urine, side pain, lower abdominal pain, pelvic pain, involuntary urination,  of bladder"
639,sickle cell anemia,"ache all over, leg pain, fever, back pain, joint pain, pulling at ears, temper problems, muscle cramps contractures or spasms, irregular belly button, swollen tongue, penis pain, dry lips"
640,subconjunctival hemorrhage,"pain in eye, eye redness, diminished vision,  of eye, headache, swollen eye, bleeding from eye, facial pain, eyelid swelling, blindness, foreign body sensation in eye, eye burns or stings"
641,hemorrhoids,"rectal bleeding, pain of the anus, blood in stool, constipation, sharp abdominal pain, mass or swelling around the anus, itching of the anus, lower body pain, melena, changes in stool appearance, heartburn, vaginal pain"
642,contact dermatitis,"skin rash, itching of skin, abnormal appearing skin, skin lesion, skin dryness peeling scaliness or roughness, allergic reaction, skin swelling, acne or pimples, skin irritation, swollen eye, diaper rash, skin moles"
643,sinus bradycardia,"sharp chest pain, dizziness, shortness of breath, palpitations, increased heart rate, fainting, decreased heart rate, weakness, irregular heartbeat, chest tightness, fatigue, feeling ill"
644,high blood pressure,"sharp chest pain, headache"
645,pelvic inflammatory disease,"sharp abdominal pain, pelvic pain, lower abdominal pain, vaginal discharge, nausea, vomiting, side pain, burning abdominal pain, back pain, painful urination, suprapubic pain, intermenstrual bleeding"
646,liver disease,"sharp abdominal pain, jaundice, upper abdominal pain, diarrhea, shortness of breath, nausea, weakness, side pain, peripheral edema, blood in stool, unusual color or odor to urine, heartburn"
647,chronic constipation,"constipation, sharp abdominal pain, burning abdominal pain, vomiting, nausea, lower abdominal pain, rectal bleeding, blood in stool, pain of the anus, retention of urine, stomach bloating, changes in stool appearance"
648,thyroid cancer,"fatigue, difficulty in swallowing, neck mass, leg weakness, stiffness all over, neck swelling, swollen lymph nodes, arm weakness, delusions or hallucinations"
649,flu,"fever, cough, sore throat, nasal congestion, ache all over, flu-like syndrome, headache, vomiting, chills, coryza, nausea, diarrhea"
650,friedrich ataxia,"ear pain, flatulence, peripheral edema, wheezing, arm weakness, arm pain, cough, shoulder swelling, vulvar sore, knee lump or mass, back stiffness or tightness, itchy eyelid"
651,tic (movement) disorder,"abnormal involuntary movements, headache, abnormal movement of eyelid, seizures, depressive or psychotic ,  of eye, problems with movement, cramps and spasms, excessive anger, stiffness all over, groin pain, temper problems"
652,skin polyp,"skin moles, skin lesion, abnormal appearing skin, skin growth, acne or pimples, itching of skin, skin swelling, change in skin mole size or color, warts, skin dryness peeling scaliness or roughness, irregular appearing scalp, skin irritation"
653,brachial neuritis,"neck pain, shoulder pain, arm pain, loss of sensation, back pain, headache, low back pain, paresthesia, hand or finger pain, arm weakness, elbow pain, hand or finger weakness"
654,cervical cancer,"pelvic pain, vaginal discharge, heavy menstrual flow, unpredictable menstruation, vaginal itching, intermenstrual bleeding, painful menstruation, vulvar irritation, difficulty eating, jaundice, mass on vulva, swollen abdomen"
655,adrenal adenoma,"sharp abdominal pain, sharp chest pain, anxiety and nervousness, shortness of breath, constipation, ache all over, back pain, muscle swelling, low back weakness, elbow cramps or spasms, back weakness, pus in sputum"
656,esophagitis,"sharp chest pain, sharp abdominal pain, vomiting, difficulty in swallowing, nausea, heartburn, upper abdominal pain, sore throat, cough, shortness of breath, burning abdominal pain, chest tightness"
657,gas gangrene,"sharp abdominal pain, shoulder cramps or spasms, excessive anger, ankle pain, wrist pain, pain during pregnancy, facial pain, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, pain in eye, fatigue"
658,yeast infection,"vaginal itching, vaginal discharge, skin rash, diaper rash, sharp abdominal pain, itching of skin, suprapubic pain, painful urination, frequent urination, problems during pregnancy, pelvic pain, vaginal pain"
659,spina bifida,"back pain, skin lesion, headache, involuntary urination, joint pain, disturbance of memory, drainage in throat, eye moves abnormally, feet turned in, ringing in ear, poor circulation, leg weakness"
660,drug poisoning due to medication,"depressive or psychotic , depression, drug abuse, fainting, abusing alcohol, sleepiness, slurring words, allergic reaction, fluid retention, delusions or hallucinations, lip swelling, stiffness all over"
661,alcoholic liver disease,"sharp abdominal pain, abusing alcohol, peripheral edema, abdominal distention, diarrhea, abnormal involuntary movements, vomiting blood, blood in stool, upper abdominal pain, weight gain, stomach bloating, kidney mass"
